#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lifeessence                                       (bloodmagic:life_essence)                                                        = Life Essence
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
flux_goo                                          (thaumcraft:flux_goo)                                                            = Flux Goo
liquid_death                                      (thaumcraft:liquid_death)                                                        = Liquid Death
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = Purifying Fluid
asbestos                                          (jaopca:fluid_moltenasbestos)                                                    = Molten Asbestos
australium                                        (jaopca:fluid_moltenaustralium)                                                  = Molten Australium
beryllium                                         (jaopca:fluid_moltenberyllium)                                                   = Molten Beryllium
coltan                                            (jaopca:fluid_moltencoltan)                                                      = Molten Coltan
daffergon                                         (jaopca:fluid_moltendaffergon)                                                   = Molten Daffergon
dilithium                                         (jaopca:fluid_moltendilithium)                                                   = Molten Dilithium
lithium                                           (jaopca:fluid_moltenlithium)                                                     = Molten Lithium
plutonium                                         (jaopca:fluid_moltenplutonium)                                                   = Molten Plutonium
reiium                                            (jaopca:fluid_moltenreiium)                                                      = Molten Reiium
schrabidium                                       (jaopca:fluid_moltenschrabidium)                                                 = Molten Schrabidium
starmetal                                         (jaopca:fluid_moltenstarmetal)                                                   = Molten Starmetal
th_232                                            (jaopca:fluid_moltenth232)                                                       = Molten Th 232
thorium                                           (jaopca:fluid_moltenthorium)                                                     = Molten Thorium
thorium_232                                       (jaopca:fluid_moltenthorium232)                                                  = Molten Thorium 232
unobtainium                                       (jaopca:fluid_moltenunobtainium)                                                 = Molten Unobtainium
uranium                                           (jaopca:fluid_moltenuranium)                                                     = Molten Uranium
verticium                                         (jaopca:fluid_moltenverticium)                                                   = Molten Verticium
weidanium                                         (jaopca:fluid_moltenweidanium)                                                   = Molten Weidanium
zirconium                                         (jaopca:fluid_moltenzirconium)                                                   = Molten Zirconium
